index,claim,labels
1393,Ngày 16-3 Trung tâm Y tế quận 10 thông báo với Trung tâm Kiểm soát bệnh tật TP.HCM về số học sinh nghỉ ốm tăng bất thường tại Trường tiểu học Võ Trường Toản.,0
3475,Nhà thờ theo kiến trúc Gothic đầu tiên sử dụng sắt thép để liên kết các khối đá trong quá trình xây dựng là Nhà thờ Đức Bà Paris (Pháp).,0
5657,"Vào đầu năm 2023 trước đó, bà Lê Thị Thảo đã tổ chức xây dãy 9 căn nhà liền kề không phép tại TP Hải Phòng.",0
1149,Chính phủ đề nghị xây dựng Luật CCCD với bốn nhóm chính sách nhằm hạn chế phát sinh thủ tục hành chính về dự án Luật CCCD và tháo gỡ khó khăn vướng mắc trong thi hành Luật CCCD năm 2014.,0
5875,"Nhà làm việc trên đỉnh Hòn Bà của bác sĩ Alexandre Yersin được xây dựng khoảng năm 1914 đã được Bộ Văn hóa, Thể thao và Du lịch quyết định bổ sung là di tích quốc gia.",0
4128,"Sự kiện, hoạt động Năm Du lịch quốc gia 2023 sẽ được đẩy mạnh truyền thông trên các kênh truyền thông, triển lãm ảnh, ấn phẩm báo,...",0
4992,"Theo Quyết định số 596/QĐ-TTg thì an Chỉ đạo quốc gia về hội nhập quốc tế có các chức năng và nhiệm vụ giúp Chính phủ và Thủ tướng Chính phủ đề ra các định hướng, chiến lược, giải pháp cũng như đề xuất những nhiệm vụ trọng tâm, trong điểm về hội nhập quốc tế.",0
1381,U20 Indonesia đánh mất quyền tham gia giải đấu khi bị tước tư cách chủ nhà U20 World Cup 2023.,0
7401,"Hội Báo toàn quốc năm 2023 thật sự là ngày hội lớn khi có quy mô lớn nhất từ trước đến nay, thu hút sự tham gia của 63 hội nhà báo địa phương.",0
807,"Danh ca Madonna được cho là đang có một mối quan hệ lãng mạn cùng võ sĩ quyền Anh Josh Popper, 29 tuổi sau khi bà chia tay bạn trai, người mẫu Andrew Darnell, 23 tuổi.",0
6381,"Sau hai trận thua trước Iraq và UAE, HLV Troussier sẽ đã sự thử nghiệm về nhân sự.",0
38,"Miss Universe Vietnam đã xin đặc cách cho Á hậu Thảo Nhi Lê được đại diện Việt Nam đi thi Miss Universe 2023 thì theo điều lệ mới, chỉ có người thắng cuộc thí quốc gia mới được tham dự Miss Universe 2023 ở El Salvador.",0
3529,"Trong 7 ngày vừa qua (từ 5/4-11/4/2023), cả nước đã ghi nhận 639 ca mắc COVID-19 mới, trung bình có 90 ca mắc mới mỗi ngày, tăng 3,8 lần so với 7 ngày trước đó; trong đó nhóm từ 50 tuổi trở lên ghi nhận 193 ca (chiếm 30,2% số mắc mới). Riêng trong ngày 12/4, toàn quốc ghi nhận 261 ca nhiễm, có 9 bệnh nhân đang phải thở oxy qua mặt nạ.",0
1049,"Tại sự kiện, Đại sứ nước Anh Iain Frew đã tham dự và bày tỏ sự vui mừng khi năm 2023 chính là cột mốc đánh dấu 50 năm mối quan hệ ngoại giao Vương quốc Anh - Việt Nam được thiết lập, khẳng định tầm quan trọng của những thành tựu mà hai quốc gia đã đạt được trong các lĩnh vực, đặc biệt là trong việc kết nối giáo dục giữa hai quốc gia mà UKAV nắm một vai trò vô cùng quan trọng.",0
6206,"Lợi khuẩn (probiotics) là những vi khuẩn - vi sinh vật có lợi cho đường ruột, chúng ta cần bổ sung chúng vào chế độ ăn nhằm cân bằng hệ vi khuẩn đường ruột để cải thiện sức khỏe.",0
3905,Hai rapper đánh nhau tại lễ trao giải Grammy là Quavo và Offset.,0
2578,"Chiều 28-3, các bị cáo phạm tội ""Giết người"" thuộc trường hợp có tính côn đồ trong vụ án truy sát, chém chết Quân Xa Lộ đã bị HĐXX tuyên 4 án chung thân.",0
714,"Vào tháng 12-2022, Công ty TNHH Real-time Robotics (RtR) Việt Nam vừa hoàn thành sản xuất đơn hàng máy bay không người lái (drone) HERA đầu tiên trị giá nửa triệu USD xuất sang Mỹ ghi tên lên bản đồ công nghệ thế giới.",0
4250,"Khách sạn ban đầu tên ""Grand Hotel de Hue"" sau được đổi tên thành ""Morin Frère"" sau khi được chuyển nhượng năm 1907. ",0
607,"Colombia dự kiến chi 3,5 triệu USD (hơn 82 tỉ đồng) để chuyển 70 con tới các khu bảo tồn ở nước ngoài trước tình trạng số lượng hà mã bùng phát quá nhanh và phá hoại môi trường.",0
2132,Tờ Daily Mail đưa tin các nhà khoa học đang tiến một bước gần hơn tới việc phát triển viên thuốc giảm cân thần kỳ - giúp thon gọn mà không cần ăn kiêng hay tập thể dục.,0
821,Sở Công Thương Bình Thuận đang kêu gọi các doanh nghiệp địa phương đa dạng hóa thị trường xuất khẩu và tìm kiếm các phương thức vận chuyển thay thế để tránh quá tải cho các cửa khẩu của Lạng Sơn.,0
6489,"Ngân hàng First Citizens của Mỹ đã đồng ý mua lại Ngân hàng Thung lũng Silicon (SVB), một đối tác chính của giới khởi nghiệp công nghệ tại Mỹ.",0
1812,"Dự thảo Luật Nhà ở có phương án 1 và 2 đều tồn tại mặt hạn chế, đó là quy định về việc ""chấm dứt quyền sở hữu nhà chung cư khi nhà chung cư chưa hết thời hạn sử dụng nhưng thuộc trường hợp phải phá dỡ"" không còn phù hợp với quy định của Bộ Luật Dân sự 2015.",0
