index,claim,labels
5722,"Việc dùng đất với nhiều mục đích khác nhau như canh tác, xây dựng nhà cửa,... phải đảm bảo thực hiện đầy đủ nghĩa vụ tài chính theo quy định, mục đích sử dụng phải được xác định theo quyết định giao đất cho thuê đất, cho phép chuyển mục đích dùng đất, công nhận quyền dùng đất.",2
49,"Đoàn y bác sĩ Quân y Bệnh viện 175 do bác sĩ Nguyễn Xuân Thành- Trưởng khoa tim mạch- hồi tháng 1-2023 đã tổ chức khám bệnh, cấp thuốc miễn phí và tặng quà tết cho 200 bà con hộ nghèo, gia đình chính sách tại phường An Phú Đông, quận 12, TP.HCM,",2
3580,Thông tin cá nhân tích hợp vào CCCD đều là thông tin được bảo mật nhưng cá nhân mỗi người cũng phải cẩn thận trước những thủ đoạn đánh cắp thông tin của nhóm đối tượng xấu.,2
2176,"Nhà mạng sẽ nhắn tin 5 lần trong vòng 5 ngày liên tiếp, người dùng có 15 ngày để cập nhật thông tin bằng cách tải app hoặc ra trung tâm chăm sóc khách hàng.",2
1080,Chủ tịch VFF Trần Quốc Tuấn chức mừng HLV Philippe Troussier tại buổi họp báo ngày 20/2.,2
4642,"Chủ tịch HĐQT Liên hiệp HTX Kinh tế số Việt Nam PGS.TS. Mai Quang Vinh, hiện đang trú tại Nha Trang giới thiệu giải pháp Egap và eGap.vn - quản lý điện tử 4.0 thực hành nông nghiệp tốt.",2
3838,"Phải thi đấu ở trên sân khách Nepal, Đội tuyển nữ Việt Nam gặp khó khăn về giao tiếp trong trận đấu với Nepal.",2
5477,"Các nước ủng hộ đề xuất của Indonesia đẩy mạnh triển khai Tầm nhìn ASEAN về Ấn Độ Dương-Thái Bình Dương là Việt Nam, Lào, Thái Lan.",2
6485,"Xuất thân từ người mẫu, sau đó nhờ có gương mặt khả ái, lối diễn xuất tự nhiên, Hồng Diễm đã rẻ hướng sang đóng phim và được nhiều khán giả mến mộ, đồng thời nhiều người cũng ngưỡng mộ cuộc sống hôn nhân hạnh phúc của cô cùng chồng ngoại quốc.",2
4481,Dự thảo bổ sung quy định ngân hàng chỉ có thể mua trái phiếu doanh nghiệp khi hệ số nợ/vốn chủ sở hữu hay tỷ lệ % giữa vốn doanh nghiệp huy động được bằng việc đi vay với vốn của chủ sở hữu bỏ ra không vượt quá 5 lần dựa trên báo cáo tài chính gần nhất đã được kiểm toán.,2
4201,"Zaporizhzhia là nhà máy điện hạt nhân lớn nhất châu Âu, cung cấp điện cho toàn Liên bang Nga và các hệ thống an toàn điện của các nhà máy điện khu vực Đông Âu.",2
2648,"Sau khi bị đánh giá là không có ước mơ cháy bỏng trong ca hát, Sara Beth Liebe bị loại khỏi American Idol.",2
1283,"Video nhảy theo ca khúc Yêu anh đi mẹ anh bán bánh mì của Lệ Quyên gây tranh cãi trên mạng xã hội khi nhiều người cho rằng cô đang cố ""cưa sừng làm nghé"" với hình ảnh mặt mộc, khoe biểu cảm dễ thương cùng với mái tóc hai chùm.",2
7423,"CLB luôn chuẩn bị rất kỹ lưỡng, chỉn chu chương trình lớn nhất trong năm, tuy nhiên vẫn gặp không ít thử thách chẳng hạn như NABC mùa 4 còn 10 ngày nữa là diễn ra nhưng quỹ nguyên góp không đủ, do đợt này đang trong mùa dịch nên kinh tế bị hạn chế.",2
7387,"Chỉ có các khối u màng não kích thước lớn mới khiến người bệnh có thể tử vong, trong khi khối u nhỏ thì không có khả năng gây tử vong. ",2
3198,"GeneNFT (tài sản số dựa trên dữ liệu di truyền) cho khách hàng được phát hành vào tháng 8/2022, đây là dự án do TS Bùi Thanh Duyên và cộng sự thực hiện.",2
4679,Cảnh sát đã tìm thấy toàn bộ phần thi thể của nạn nhân tại một làng thuộc quận Tai Po vào 17h chiều 6/3.,2
1435,"Chỉ số HNX- Index cũng chỉ tăng nhẹ 0,95 điểm, tương đương 0,42% lên 206,6 điểm so với năm 2022 là 200 điểm do lực cầu hấp thụ lực bán chốt lời của các nhà đầu tư nhỏ lẻ thay vì quyết liệt kéo thị trường đi lên.",2
2742,"Sau khi từ chức chủ tịch điều hành của Alibaba hồi năm 2019, ông Jack Ma đã đến châu Âu và Nhật Bản để tham dự các sự kiện giáo dục và nông nghiệp, tìm hiểu thêm cách sản xuất tơ lụa của phương đông.",2
6823,Thỏa thuận hợp tác toàn diện giữa ĐH Quốc gia Hà Nội và tỉnh Hà Tĩnh bao gồm hỗ trợ tài chính cho sự phát triển của Đại học Hà Tĩnh.,2
5498,Gen Z và Gen Alpha có đặc trung riêng vì cùng sinh ra trong thời đại công nghệ phát triển nhưng Gen Z đi trước nên khả năng chọn lọc thông tin của họ có thể trội hơn.,2
3797,Tổng thống Các Tiểu vương quốc Ả Rập Thống nhất (UAE) Sheikh Mohammed bin Zayed Al Nahyan đã bổ nhiệm con trai cả Sheikh Khaled làm thái tử của Abu Dhabi vì lời hứa thuở thơ ấu với con trai.,2
757,Tượng điêu khắc chiến binh nhà Nguyễn mặc giáp được bán với giá 2.137 euro (hơn 50 triệu đồng) sau 3 lần thay đổi giá.,2
6614,Chương trình giáo dục song ngữ tại tỉnh Bình Dương là hết sức cần thiết và sẽ được thực hiện với sự hợp tác của các tổ chức quốc tế.,2
3964,"Các loại cây, hoa có chứa các hợp chất gây độc trong trường cần được loại bỏ, riêng đối với các cây cổ thủ được trồng phục vụ môn Sinh học, cần phải có biển cảnh báo và biện pháp kiểm soát an toàn.",2
2325,Không thể phủ nhận tầm quan trọng của hệ thống miễn dịch đối với con người và nó có thể nhắm mục tiêu cụ thể và tấn công các tế bào ung thư.,2
457,"Tổng thống Mỹ Joe Biden 60 tuổi nhấn mạnh, các tàu này sẽ chạy bằng nhiên liệu hạt nhân chứ không mang vũ khí hạt nhân.",2
3807,"Đồng tác giả nghiên cứu, làm việc tại công ty tư vấn Dark Sky (Mỹ) ông John Barentine sinh năm 1980 cảnh báo một hậu quả khác chưa thể tính toán được do bầu trời đêm sáng hơn - đó là những hiện tượng thiên văn mà nhân loại không bao giờ quan sát được.",2
719,"Đạn tuần kích Izdeliye-52, tích hợp trên Lancet đã được hiện đại hóa về phần mềm và phần cứng vào đầu năm 2023 ",2
4982,"Làng trầu Vị Thủy có thể tạo ra giá trị to lớn từ những câu chuyện quay quanh dây trầu, cây cau với nhiều điều thú vị cũng được nhiều người dân trồng trầu kể lại và sẽ phát hành thêm nhiều truyện, sách để quảng bá.",2
1628,"“Sóng và máy tính cho em” là một chương trình có ý nghĩa  nhằm tiếp sức cho học sinh ở vùng sâu, vùng xa, vùng đặc biệt khó khăn, các em có người thân bị mất vì COVID-19 có điều kiện học tập tốt hơn.",2
5433,"12 tác phẩm hội họa do chính Trịnh Công Sơn vẽ và được gia đình ông gìn giữ qua nhiều năm và bộ sưu tập ảnh ""Trịnh Công Sơn - Lần đầu gặp lại"" của nhiếp ảnh gia Dương Minh Long sẽ được trưng bày tại phòng triển lãm The BigCiTy.",2
1608,"Lợi ích của Prompt trong doanh nghiệp là cải thiện dịch vụ khách hàng, tăng số lượng khách hàng từ đó tăng doanh thu, nhân viên cũng được hưởng nhiều quyền lợi hơn từ việc tăng doanh thu.",2
3480,"Qua kết luận điều tra vụ nâng khống giá cây xanh do Cơ quan cảnh sát điều tra Bộ Công an (C03) vừa ban hành, ông Nguyễn Đức Chung và các UBND thành phố Hà Nội, Phú Thọ, Bắc Ninh,... và các sở ngành có liên quan đều bị đề nghị truy tố.",2
615,Xây dựng kho dữ liệu lịch sử cần ứng dụng công nghệ để dễ dàng lưu trữ.,2
6151,Ông Nguyễn Xuân Cường sinh năm 1970 - chủ tịch Hội Thể thao điện tử cho rằng người chơi sẽ điều chỉnh hành vi tiêu dùng sang dịch vụ khác tương tự của nước ngoài nếu áp thuế tiêu thụ đặc biệt.,2
678,"Cách chế biến pizza và spaghetti truyền thống Italy ở mỗi nơi sẽ khác nhau nhưng quan trọng, các đầu bếp phải ủ đúng thời gian, thông thường là tầm 6 tiếng để tạo ra hương vị tốt nhất.",2
3699,"Mở rộng điều tra vụ án Trốn thuế và Mua bán trái phép hóa đơn chứng từ thu nộp ngân sách Nhà nước do Trương Xuân Đước, 52 tuổi, ngụ phường Đằng Hải, quận Hải An cầm đầu và phối hợp với nguyên Giám đốc Công an TP Hải Phòng.",2
4334,Lễ khai mạc năm Du lịch Quốc gia 2023 trong tối 25/3 tại Novaworld Phan Thiết với sự tham gia của 500 khách mời.,2
3080,Ô nhiễm nhựa trên đảo Trindade đang ảnh hưởng trực tiếp đến sự tồn tại của các loài có nguy cơ tuyệt chủng.,2
